x	   E(x)	
0.000	   21.39730
0.047	   21.39683
0.094	   21.39541
0.141	   21.39305
0.188	   21.38974
0.235	   21.38531
0.282	   21.37996
0.329	   21.37363
0.376	   21.36633
0.423	   21.35771
0.470	   21.34845
0.517	   21.33821
0.564	   21.32699
0.611	   21.31464
0.658	   21.30147
0.705	   21.28731
0.752	   21.27218
0.799	   21.25606
0.846	   21.23877
0.893	   21.22068
0.940	   21.20160
0.987	   21.18154
1.034	   21.16024
1.081	   21.13820
1.128	   21.11516
1.175	   21.09112
1.222	   21.06580
1.269	   21.03977
1.316	   21.01274
1.363	   20.98470
1.410	   20.95532
1.457	   20.92527
1.504	   20.89421
1.551	   20.86214
1.598	   20.82905
1.645	   20.79456
1.692	   20.75944
1.739	   20.72329
1.786	   20.68612
1.833	   20.64749
1.880	   20.60826
1.927	   20.56799
1.974	   20.52669
2.021	   20.48387
2.068	   20.44048
2.115	   20.39605
2.162	   20.35057
2.209	   20.30352
2.256	   20.25593
2.303	   20.20728
2.350	   20.15757
2.397	   20.10679
2.444	   20.05439
2.491	   20.00147
2.538	   19.94747
2.585	   19.89240
2.632	   19.83564
2.679	   19.77839
2.726	   19.72005
2.773	   19.66062
2.820	   19.59945
2.867	   19.53782
2.914	   19.47507
2.961	   19.41122
3.008	   19.34558
3.055	   19.27950
3.102	   19.21229
3.149	   19.14395
3.196	   19.07449
3.243	   19.00319
3.290	   18.93145
3.337	   18.85857
3.384	   18.78455
3.431	   18.70864
3.478	   18.63231
3.525	   18.55482
3.572	   18.47617
3.619	   18.39559
3.666	   18.31461
3.713	   18.23245
3.760	   18.14911
3.807	   18.06380
3.854	   17.97810
3.901	   17.89120
3.948	   17.80311
3.995	   17.71383
4.042	   17.62254
4.089	   17.53085
4.136	   17.43795
4.183	   17.34384
4.230	   17.24771
4.277	   17.15116
4.324	   17.05339
4.371	   16.95440
4.418	   16.85338
4.465	   16.75193
4.512	   16.64924
4.559	   16.54532
4.606	   16.43936
4.653	   16.33296
4.700	   16.22531
4.747	   16.11642
4.794	   16.00628
4.841	   15.89410
4.888	   15.78145
4.935	   15.66755
4.982	   15.55240
5.029	   15.43521
5.076	   15.31754
5.123	   15.19861
5.170	   15.07842
5.217	   14.95623
5.264	   14.83352
5.311	   14.70954
5.358	   14.58430
5.405	   14.45710
5.452	   14.32934
5.499	   14.20032
5.546	   14.07004
5.593	   13.93850
