Mode        Frequency        Accuracy
1         799.7397 MHz        2.385e-007
2         827.7823 MHz        8.65e-007
3         827.7895 MHz        9.325e-007
4         1014.967 MHz        3.07e-007
5         1014.974 MHz        3.141e-007
6         1271.086 MHz        2.627e-007
7         1271.092 MHz        2.582e-007
8         1372.455 MHz        5.198e-008
9         1372.461 MHz        5.468e-008
10         1425.98 MHz        8.763e-008
11         1430.733 MHz        1.245e-007
12         1430.745 MHz        1.344e-007
13         1453.467 MHz        1.584e-007
14         1495.234 MHz        2.443e-007
15         1495.244 MHz        2.676e-007
16         1594.423 MHz        4.009e-007
17         1594.431 MHz        4.562e-007
18         1700.733 MHz        8.637e-007
19         1765.244 MHz        2.843e-007
20         1765.252 MHz        2.79e-007
21         1777.193 MHz        6.075e-007
22         1777.21 MHz        6.007e-007
23         1809.86 MHz        2.249e-008
24         1809.88 MHz        6.209e-008
25         1833.899 MHz        5.829e-008
26         1833.915 MHz        9.677e-008
27         1881.468 MHz        1.28e-007
28         1881.485 MHz        9.057e-008
29         2013.282 MHz        5.14e-007
30         2013.311 MHz        5.761e-007
31         2026.116 MHz        5.672e-007
32         2026.149 MHz        6.077e-007
33         2029.629 MHz        7.296e-007
34         2102.505 MHz        9.533e-007
35         2102.524 MHz        3.452e-007
36         2144.859 MHz        4.06e-007
37         2154.578 MHz        5.6e-007
38         2154.708 MHz        6.696e-007
39         2160.275 MHz        7.325e-007
40         2160.328 MHz        7.912e-007
41         2162.998 MHz        5.895e-007
42         2163.023 MHz        6.001e-007
43         2228.868 MHz        4.517e-007
44         2230.47 MHz        6.824e-007
45         2274.839 MHz        4.809e-007
46         2274.858 MHz        5.814e-007
47         2278.602 MHz        5.889e-007
48         2278.655 MHz        7.045e-007
49         2295.845 MHz        8.473e-007
50         2295.885 MHz        9.381e-007
51         2370.434 MHz        6.016e-007
52         2370.439 MHz        6.646e-007
53         2445.038 MHz        6.161e-007
54         2445.06 MHz        6.546e-007
55         2448.45 MHz        1.006e-006
56         2448.505 MHz        7.214e-007
57         2453.715 MHz        8.202e-007
58         2453.756 MHz        5.965e-007
59         2479.625 MHz        6.571e-007
60         2479.751 MHz        6.487e-007
61         2520.619 MHz        8.559e-007
62         2520.774 MHz        6.951e-007
63         2529.091 MHz        1.102e-006
64         2529.153 MHz        9.871e-007
65         2529.676 MHz        9.393e-007
66         2529.754 MHz        9.772e-007
67         2566.524 MHz        4.384e-007
68         2566.574 MHz        5.81e-007
69         2579.286 MHz        2.585e-007
70         2583.61 MHz        7.517e-007
