Mode        Frequency        Accuracy
1         2583.247 MHz        7.005e-007
2         2583.355 MHz        7.903e-007
3         2587.009 MHz        2.073e-007
4         2612.95 MHz        1.343e-007
5         2629.973 MHz        1.379e-007
6         2629.991 MHz        1.915e-007
7         2710.356 MHz        7.231e-007
8         2710.428 MHz        5.276e-007
9         2727.327 MHz        1.069e-006
10         2727.422 MHz        6.554e-007
11         2741.612 MHz        7.477e-007
12         2741.743 MHz        3e-007
13         2743.21 MHz        9.214e-007
14         2743.288 MHz        6.608e-007
15         2791.792 MHz        2.742e-007
16         2791.835 MHz        3.572e-007
17         2806.27 MHz        1.659e-007
18         2806.406 MHz        4.326e-007
19         2821.821 MHz        2.383e-007
20         2821.861 MHz        2.884e-007
21         2859.725 MHz        8.274e-007
22         2864.47 MHz        3.751e-007
23         2864.557 MHz        5.19e-007
24         2866.93 MHz        7.733e-007
25         2866.96 MHz        4.272e-007
26         2894.479 MHz        1.133e-006
27         2909.123 MHz        7.433e-007
28         2909.245 MHz        1.357e-006
29         2914.238 MHz        8.407e-007
30         2914.354 MHz        7.927e-007
31         2939.701 MHz        1.01e-006
32         2939.758 MHz        1.233e-006
33         2969.377 MHz        8.9e-007
34         2969.639 MHz        6.974e-007
35         2985.183 MHz        7.836e-007
36         2985.355 MHz        6.784e-007
37         3011.358 MHz        6.394e-007
38         3011.411 MHz        8.354e-007
39         3011.758 MHz        1.69e-006
40         3046.45 MHz        7.413e-007
41         3046.524 MHz        9.364e-007
42         3047.297 MHz        1.845e-006
43         3047.419 MHz        1.556e-006
44         3052.579 MHz        8.091e-007
45         3052.778 MHz        2.134e-006
46         3096.543 MHz        7.436e-007
47         3096.803 MHz        9.079e-007
48         3120.508 MHz        1.285e-006
49         3120.56 MHz        1.427e-006
50         3142.93 MHz        2.206e-006
51         3143.094 MHz        1.928e-006
52         3146.261 MHz        9.471e-007
53         3146.469 MHz        1.231e-006
54         3148.419 MHz        7.86e-007
55         3148.73 MHz        6.588e-007
56         3154.241 MHz        2.088e-006
57         3185.972 MHz        9.269e-007
58         3186.084 MHz        8.801e-007
59         3189.812 MHz        2.142e-006
60         3189.972 MHz        1.704e-006
61         3190.861 MHz        1.266e-006
62         3190.977 MHz        1.129e-006
63         3227.794 MHz        6.78e-007
64         3227.826 MHz        9.927e-007
65         3259.296 MHz        7.528e-007
66         3259.609 MHz        1.519e-006
67         3260.19 MHz        1.445e-006
68         3274.928 MHz        1.111e-006
69         3275.069 MHz        1.493e-006
